job_title,company,match_score,recommendation,salary_range,location,job_url
"Senior Data Engineer (Python, Spark, AWS)",Capital One,84.24,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia | Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-spark-aws/1732/85921902800
"Senior Associate, Data Scientist - Applied AI",Capital One,84.01,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-associate-data-scientist-applied-ai/1732/85271909888
"Senior Associate, Data Scientist",Capital One,83.75,🚀 STRONG MATCH - Highly recommended,"Richmond, VA: $120,900 - $138,000; New York, NY: $145,100 - $165,600","McLean, Virginia; New York, New York; Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-associate-data-scientist/1732/85519544112
"Senior Associate, Data Scientist - Applied AI",Capital One,83.64,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-associate-data-scientist-applied-ai/1732/85271909856
"Senior Data Engineer (Python, Spark, AWS)",Capital One,83.6,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-spark-aws/1732/86338757488
"Principal Associate, Data Science - Model Risk Office",Capital One,83.46,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/principal-associate-data-science-model-risk-office/1732/85519544064
"Senior Data Scientist, Consumer Identity Machine Learning",Capital One,83.39,🚀 STRONG MATCH - Highly recommended,"$145,100 - $165,600 (for New York, NY and San Jose, CA)","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-scientist-consumer-identity-machine-learning/1732/85041708240
"Senior Associate, Data Science - Financial Services",Capital One,83.38,🚀 STRONG MATCH - Highly recommended,,"Plano, Texas",https://www.capitalonecareers.com/job/plano/senior-associate-data-science-financial-services/1732/82447106528
"Senior Associate, Data Scientist - US Card (Apollo)",Capital One,83.3,🚀 STRONG MATCH - Highly recommended,"$145,100 - $165,600 (for New York, NY)","McLean, Virginia | New York, New York",https://www.capitalonecareers.com/job/mclean/senior-associate-data-scientist-us-card-apollo/1732/85741011808
Lead Machine Learning Engineer,Capital One,83.26,🚀 STRONG MATCH - Highly recommended,"$211,000 - $240,800 (for New York, NY)","New York, New York | McLean, Virginia",https://www.capitalonecareers.com/job/new-york/lead-machine-learning-engineer/1732/86438951008
"Principal Associate, Data Scientist - Transaction Intelligence",Capital One,83.24,🚀 STRONG MATCH - Highly recommended,,"New York, New York",https://www.capitalonecareers.com/job/new-york/principal-associate-data-scientist-transaction-intelligence/1732/84767011440
"Principal Associate, Data Scientist - US Card (Risk R&D)",Capital One,83.21,🚀 STRONG MATCH - Highly recommended,"$158,600 - $181,000 (McLean, VA); $173,000 - $197,400 (New York, NY)","McLean, Virginia; New York, New York; Chicago, Illinois",https://www.capitalonecareers.com/job/mclean/principal-associate-data-scientist-us-card-risk-r-and-d/1732/86329395168
