job_title,company,match_score,recommendation,salary_range,location,job_url
Machine Learning Engineer (L4) - Content Production & Promotion,Netflix,83.05,🚀 STRONG MATCH - Highly recommended,"$170,000 - $720,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790304413870-machine-learning-engineer-l4-content-production-promotion-usa-remote?domain=netflix.com&microsite=netflix.com
"Software Engineer 5, Member Science Engineering",Netflix,82.66,🚀 STRONG MATCH - Highly recommended,$170K - $720K,USA - Remote,https://explore.jobs.netflix.net/careers/job/790304837648-software-engineer-5-member-science-engineering-usa-remote?domain=netflix.com&microsite=netflix.com
"Research Scientist/Engineer L5/L6, AI for Member Systems",Netflix,82.64,🚀 STRONG MATCH - Highly recommended,"$230,000 - $960,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790300763295-research-scientist-engineer-l5-l6-ai-for-member-systems-usa-remote?domain=netflix.com&microsite=netflix.com
Data Scientist 5 - Availability,Netflix,82.33,🚀 STRONG MATCH - Highly recommended,$170 - $720,USA - Remote,https://explore.jobs.netflix.net/careers/job/790303610732-data-scientist-5-availability-usa-remote?domain=netflix.com&microsite=netflix.com
Data Engineer 5 - Product (QOE),Netflix,82.27,🚀 STRONG MATCH - Highly recommended,"$170,000 - $720,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790305012211-data-engineer-5-product-qoe--usa-remote?domain=netflix.com&microsite=netflix.com
Machine Learning Scientist (L5) - Content and Studio,Netflix,82.22,🚀 STRONG MATCH - Highly recommended,"$150,000 - $750,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790304113088-machine-learning-scientist-l5-content-and-studio-usa-remote?domain=netflix.com&microsite=netflix.com
Machine Learning Software Engineer L4/L5,Netflix,82.09,🚀 STRONG MATCH - Highly recommended,"$100,000 - $720,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790300766176-machine-learning-software-engineer-l4-l5-usa-remote?domain=netflix.com&microsite=netflix.com
"Machine Learning Engineer (L5 - Senior), Ads Inventory Management & Forecasting",Netflix,82.04,🚀 STRONG MATCH - Highly recommended,"$100,000 - $720,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790301213092-machine-learning-engineer-l5-senior-ads-inventory-management-forecasting-usa-remote?domain=netflix.com&microsite=netflix.com
Analytics Engineer (L5) - Localization,Netflix,81.78,🚀 STRONG MATCH - Highly recommended,"$100,000 - $720,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790304686860-analytics-engineer-l5-localization-usa-remote?domain=netflix.com&microsite=netflix.com
Machine Learning Engineer 5 - Ads Platform Engineering,Netflix,81.69,🚀 STRONG MATCH - Highly recommended,"$100,000 - $720,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790302428788-machine-learning-engineer-5-ads-platform-engineering-usa-remote?domain=netflix.com&microsite=netflix.com
Machine Learning Engineer (L5) - Content Management & Distribution,Netflix,81.66,🚀 STRONG MATCH - Highly recommended,"$150,000 - $750,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790303496227-machine-learning-engineer-l5-content-management-distribution-usa-remote?domain=netflix.com&microsite=netflix.com
Software Engineer 4 - Revenue Finance Infrastructure,Netflix,81.65,🚀 STRONG MATCH - Highly recommended,"$100,000 - $700,000","Los Gatos, California, United States of America",https://explore.jobs.netflix.net/careers/job/790311814862-software-engineer-4-revenue-finance-infrastructure-los-gatos-california-united-states-of-america?domain=netflix.com&microsite=netflix.com
Capacity Planning L5,Netflix,81.57,🚀 STRONG MATCH - Highly recommended,"$100,000 - $720,000","Los Gatos, California, United States of America",https://explore.jobs.netflix.net/careers/job/790304539684-capacity-planning-l5-los-gatos-california-united-states-of-america?domain=netflix.com&microsite=netflix.com
Machine Learning Engineer (L5) - Ads,Netflix,81.52,🚀 STRONG MATCH - Highly recommended,"$170,000 - $720,000","California - Remote, United States of America",https://explore.jobs.netflix.net/careers/job/790303802555-machine-learning-engineer-l5-ads-california-remote-united-states-of-america?domain=netflix.com&microsite=netflix.com
L4 Machine Learning Engineer - Content & Studio,Netflix,81.51,🚀 STRONG MATCH - Highly recommended,$170K - $720K,USA - Remote,https://explore.jobs.netflix.net/careers/job/790311847494-l4-machine-learning-engineer-content-studio-usa-remote?domain=netflix.com&microsite=netflix.com
Data Scientist 5 - Open Connect Experimentation,Netflix,81.5,🚀 STRONG MATCH - Highly recommended,$170K - $720K,USA - Remote,https://explore.jobs.netflix.net/careers/job/790304837666-data-scientist-5-open-connect-experimentation-usa-remote?domain=netflix.com&microsite=netflix.com
Senior Data Engineer (L5),Netflix,81.46,🚀 STRONG MATCH - Highly recommended,,"Warsaw, Poland",https://explore.jobs.netflix.net/careers/job/790302856610-senior-data-engineer-l5-poland-warsaw-poland?domain=netflix.com&microsite=netflix.com
Software Engineer 4 - Content & Studio,Netflix,81.45,🚀 STRONG MATCH - Highly recommended,$100 - $720K,"Los Angeles, California, United States of America",https://explore.jobs.netflix.net/careers/job/790304855579-software-engineer-4-content-studio-los-angeles-california-united-states-of-america?domain=netflix.com&microsite=netflix.com
Data Engineer (L5),Netflix,81.26,🚀 STRONG MATCH - Highly recommended,"$170,000 - $720,000","USA - Remote (with option for Los Gatos, California)",https://explore.jobs.netflix.net/careers/job/790298021158-data-engineer-l5--usa-remote?domain=netflix.com&microsite=netflix.com
Data Scientist (L5) - Ads (Forecasting),Netflix,81.18,🚀 STRONG MATCH - Highly recommended,"$170,000 - $720,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790298554703-data-scientist-l5-ads-forecasting--usa-remote?domain=netflix.com&microsite=netflix.com
"Director, Growth Data Engineering",Netflix,81.1,🚀 STRONG MATCH - Highly recommended,"$610,000 - $1,870,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790300937664-director-growth-data-engineering-usa-remote?domain=netflix.com&microsite=netflix.com
"Data Scientist (L5) - Promotional Media, Emerging Experiences",Netflix,81.08,🚀 STRONG MATCH - Highly recommended,"$150,000 - $750,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790304825980-data-scientist-l5-promotional-media-emerging-experiences-usa-remote?domain=netflix.com&microsite=netflix.com
Machine Learning Engineer,Netflix,81.07,🚀 STRONG MATCH - Highly recommended,"$100,000 - $720,000",USA - Remote,https://explore.jobs.netflix.net/careers/job/790300763300-machine-learning-engineer-usa-remote?domain=netflix.com&microsite=netflix.com
